fold,histgb_mae,histgb_rmse,histgb_r2,mlp_mae,mlp_rmse,mlp_r2
1,0.8582085799583061,1.0359207763662566,0.1815120243583579,0.8617251477387979,1.0364809320750181,0.18062661945054914
2,0.8556253083107606,1.0344422227048757,0.18330882422378458,0.859125129920745,1.0350246817894604,0.1823888634829014
3,0.8578514626152269,1.0377810208547247,0.18057315680856567,0.854415481419579,1.0376378949586176,0.18079916424449383
4,0.857192943014008,1.0369319378254263,0.18007657341788297,0.8586543588509116,1.037480070252069,0.17920950512392586
5,0.8579924498243734,1.0364481815643647,0.1811325659846239,0.8627652029800165,1.036900956927153,0.1804169605341085
