fold,val_mae,val_rmse,val_r2,train_mae,train_rmse,train_r2,best_epoch
1,0.8605986612920606,1.036603952684473,0.18043210396738885,0.8580476645233833,1.034403060717043,0.18443405495817755,6
2,0.8570267720509209,1.0353494610749308,0.18187566833377056,0.8566314451435721,1.0349430518662903,0.18371605798500468,7
3,0.8562638461354112,1.0379729157540518,0.18027009023419538,0.8533806561986996,1.0333784850420993,0.18554742502747534,8
4,0.858341071928431,1.0368941385586097,0.1801363496449533,0.8563230747338175,1.033902933725491,0.18518094516936556,4
5,0.8560469644287056,1.0363848973709506,0.1812325609171701,0.8545395119598542,1.0339804381994675,0.18498549779589635,4
